Title,Year,certificate,Time,genre,Rating,Score,Description,Director,Actor1,Actor2,Actor3,Actor4,Votes,Gross
White Man's Burden,(1995),15,89 min,"
Drama, Thriller            ",5.3,,"
    In an alternative America where African-Americans and White Americans have reversed cultural roles, a white factory worker kidnaps a black factory owner for dismissing him over perceived disdain.",Desmond Nakano,John Travolta,Harry Belafonte,Kelly Lynch,Margaret Avery,"4,594",$3.76M
Unfaithfully Yours,(1948),A,105 min,"
Comedy, Music, Romance            ",7.6,,"
    While conducting a symphony orchestra, Sir Alfred De Carter imagines three different ways of dealing with his wife's suspected infidelity, then tries acting out his fantasies, but things do...                See full summary »
",Preston Sturges,Rex Harrison,Linda Darnell,Rudy Vallee,Barbara Lawrence,"4,580",
 American Horror Story,(2011– ),15,38 min,"
Drama, Horror, Thriller            ",8.3,,"
    Two of the house's previous residents, interior designers Chad and Patrick, give the Harmons decorating advice.",David Semel,Dylan McDermott,Connie Britton,Evan Peters,Taissa Farmiga,"4,528",
Night Train to Munich,(1940),A,95 min,"
Thriller, War            ",7.2,,"
    After Germany invades Czechoslovakia, the German and the British intelligence services try to capture Czech scientist Dr. Axel Bomasch (James Harcourt), inventor of a new type of armor-plating.",Carol Reed,Margaret Lockwood,Rex Harrison,Paul Henreid,Basil Radford,"4,504",
No Way Out,(1950),A,106 min,"
Crime, Drama, Film-Noir            ",7.4,,"
    A black doctor is assigned to treat two white racist suspects who are brothers, and when one dies, it causes tension that could start a race riot.",Joseph L. Mankiewicz,Richard Widmark,Linda Darnell,Stephen McNally,Sidney Poitier,"4,440",
 American Horror Story,(2011– ),15,41 min,"
Drama, Horror, Thriller            ",8.3,,"
    While on a date with Violet, Tate is harassed by a group of bloody teens. Ben and Vivien are haunted by one of the house's newest guests.",David Semel,Connie Britton,Dylan McDermott,Evan Peters,Taissa Farmiga,"4,376",
Thr3e,(2006),15,101 min,"
Drama, Horror, Mystery            ",5.0,"
34        
        Metascore
            ","
    Innocent lives hang on the whim of an elusive psychopathic murderer whose strange riddles and impossible timelines force three people into a mission to end the game before one or all of them die.",Robby Henson,Marc Blucas,Justine Waddell,Laura Jordan,Max Ryan,"4,370",$1.01M
 American Horror Story,(2011– ),15,44 min,"
Drama, Horror, Thriller            ",8.1,,"
    Ben sees a new patient who is terrified by the legend of a man who slaughters those who repeat a specific mantra into a mirror.",Michael Uppendahl,Dylan McDermott,Connie Britton,Evan Peters,Taissa Farmiga,"4,302",
 American Horror Story,(2011– ),18,52 min,"
Drama, Horror, Thriller            ",8.1,,"
    The aftermath of Vivien's difficult labour is revealed and Ben makes plans to get out of the house. Some of the spirits have other plans and the family has to pull together to make it through these very tough changes.",Bradley Buecker,Dylan McDermott,Connie Britton,Evan Peters,Taissa Farmiga,"4,271",
Eyewitness,(1981),AA,103 min,"
Crime, Drama, Mystery            ",6.0,"
61        
        Metascore
            ","
    A janitor who claims he's seen a murder becomes romantically involved with the glamorous TV reporter covering the story.",Peter Yates,William Hurt,Sigourney Weaver,Christopher Plummer,James Woods,"4,237",$6.40M
5 Fingers,(1952),U,108 min,"
Drama, Thriller            ",7.7,,"
    During WWII the valet to the British Ambassador to Ankara sells British secrets to the Germans while trying to romance a refugee Polish countess.",Joseph L. Mankiewicz,James Mason,Danielle Darrieux,Michael Rennie,Walter Hampden,"4,227",
 American Horror Story,(2011– ),15,41 min,"
Drama, Horror, Thriller            ",8.6,,"
    In 1994, Larry gets burned. In the present, Ben begins to understand what happened to cause Vivien's institutionalization. Constance is questioned by the police in Travis' death. Violet learns something about herself that she doesn't know.",Michael Lehmann,Dylan McDermott,Connie Britton,Evan Peters,Taissa Farmiga,"4,200",
Sugar Hill,(1993),18,123 min,"
Crime, Drama, Thriller            ",5.9,,"
    A drug dealer tries to get out of the life and start anew with his girlfriend, but the transition is tragically difficult.",Leon Ichaso,Wesley Snipes,Michael Wright,Khandi Alexander,DeVaughn Nixon,"4,124",$18.27M
 American Horror Story,(2011– ),18,39 min,"
Drama, Horror, Thriller            ",8.0,,"
    Moira persuades a prospective buyer to make an offer. Constance and Larry work against her efforts.",Tim Hunter,Connie Britton,Dylan McDermott,Evan Peters,Taissa Farmiga,"4,084",
 American Horror Story,(2011– ),15,40 min,"
Drama, Horror, Thriller            ",8.5,,"
    Vivien gives birth. Violet learns who fathered one of her new siblings.",Alfonso Gomez-Rejon,Connie Britton,Dylan McDermott,Evan Peters,Taissa Farmiga,"4,058",
Addams Family Reunion,(1998 TV Movie),PG,91 min,"
Comedy, Family, Fantasy            ",3.9,,"
    The Addams Family goes on a search for their relatives.",Dave Payne,Daryl Hannah,Tim Curry,Nicole Fugere,Jerry Messing,"4,022",
Separate Lies,(2005),15,85 min,"
Crime, Drama, Romance            ",6.4,"
71        
        Metascore
            ","
    A couple's marriage is complicated by the introduction of a third party.",Julian Fellowes,Tom Wilkinson,Emily Watson,Hermione Norris,John Warnaby,"3,991",$0.92M
I Wake Up Screaming,(1941),A,82 min,"
Crime, Drama, Film-Noir            ",7.2,,"
    Why is Inspector Ed Cornell trying to railroad Frankie Christopher for the murder of model Vicky Lynn?",H. Bruce Humberstone,Betty Grable,Victor Mature,Carole Landis,Laird Cregar,"3,978",
 American Horror Story,(2011– ),18,40 min,"
Drama, Horror, Thriller            ",8.0,,"
    One of history's most famous murder victims pays the house a visit. Constance discovers more of Tate's bad behavior.",John Scott,Connie Britton,Dylan McDermott,Evan Peters,Taissa Farmiga,"3,966",
Take a Shot,(2011),15,128 min,"
Action, Crime, Drama            ",6.2,,"
    A corrupt police officer is entrusted the task of apprehending drug-dealers.",Rohan Sippy,Abhishek Bachchan,Deepika Padukone,Bipasha Basu,Rana Daggubati,"3,799",$0.56M
Dragonwyck,(1946),A,103 min,"
Drama, Thriller, Mystery            ",7.0,,"
    A simple Connecticut farm girl is recruited by a distant relative, an aristocratic patroon, to be governess to his young daughter in his Hudson Valley mansion.",Joseph L. Mankiewicz,Gene Tierney,Walter Huston,Vincent Price,Glenn Langan,"3,738",
Visiting Hours,(1982),18,105 min,"
Horror, Thriller            ",5.7,,"
    A deranged, misogynistic killer assaults a journalist. When he discovers that she survived the attack, he follows her to the hospital to finish her off.",Jean-Claude Lord,Michael Ironside,Lee Grant,Linda Purl,William Shatner,"3,691",$13.26M
Firestorm,(1998),15,89 min,"
Action, Thriller            ",4.8,,"
    Firefighter Jesse Graves has to save ornithologist Jennifer and other people caught in a forest fire, which was set up by the lawyer of convicted killer Earl Shaye, who escaped from the ...                See full summary »
",Dean Semler,Howie Long,Scott Glenn,William Forsythe,Suzy Amis,"3,673",$8.04M
Whirlpool,(1950),A,98 min,"
Crime, Drama, Film-Noir            ",6.8,,"
    A woman suffering from kleptomania is hypnotized in an attempt to cure her. Soon afterwards, she's found at the scene of a murder with no memory of how she got there, and seemingly no way to prove her innocence.",Otto Preminger,Gene Tierney,Richard Conte,José Ferrer,Charles Bickford,"3,672",
Skin,(I) (2018),R,21 min,"
Short, Drama, Thriller            ",7.1,,"
    In a small supermarket in a blue collar town, a black man smiles at a 10-year-old white boy across the checkout aisle. This innocuous moment sends two gangs into a ruthless war that ends with a shocking backlash.",Guy Nattiv,Jonathan Tucker,Danielle Macdonald,Ashley Thomas,Jackson Robert Scott,"3,662",
Silent Fall,(1994),15,101 min,"
Drama, Mystery, Thriller            ",6.0,,"
    An autistic boy witnesses his parents' double murder. A controversial therapist seeks to probe the child's mind in order to solve the case.",Bruce Beresford,Richard Dreyfuss,Linda Hamilton,John Lithgow,J.T. Walsh,"3,582",$3.18M
Light It Up,(1999),15,99 min,"
Drama, Thriller            ",6.1,"
43        
        Metascore
            ","
    A group of teens are bent on improving the run-down conditions of their high-school.",Craig Bolotin,Usher,Forest Whitaker,Rosario Dawson,Robert Ri'chard,"3,473",$5.87M
Morituri,(1965),12,123 min,"
Action, Drama, Thriller            ",7.0,,"
    A war pacifist is blackmailed to pose as an SS officer and to disable the scuttling explosives on freighter carrying rubber cargo to be captured by the Allies.",Bernhard Wicki,Marlon Brando,Yul Brynner,Janet Margolin,Trevor Howard,"3,445",
Raaz 3: The Third Dimension,(2012),15,139 min,"
Horror, Romance, Thriller            ",4.0,,"
    When an ingénue's sudden popularity threatens to shove her out of the spotlight, a movie star uses black magic in an attempt to derail her career.",Vikram Bhatt,Emraan Hashmi,Bipasha Basu,Esha Gupta,Manish Chaudhary,"3,442",
The Quiller Memorandum,(1966),A,104 min,"
Crime, Drama, Mystery            ",6.3,,"
    In the West Berlin of the 1960s, two British agents are killed by a Nazi group, prompting British Intelligence to dispatch agent Quiller to investigate.",Michael Anderson,George Segal,Alec Guinness,Max von Sydow,Senta Berger,"3,428",
Bad Dreams,(1988),18,80 min,"
Horror, Thriller            ",5.7,,"
    The lone survivor of a suicide cult wakes from a thirteen-year coma in a psychiatric ward, where other patients suddenly start dying under mysterious and gruesome circumstances.",Andrew Fleming,Jennifer Rubin,Bruce Abbott,Richard Lynch,Dean Cameron,"3,370",$9.80M
Ghost in the Machine,(1993),18,95 min,"
Horror, Sci-Fi, Thriller            ",4.6,,"
    An electric surge causes a serial killer's soul to end up in a computer system.",Rachel Talalay,Karen Allen,Chris Mulkey,Ted Marcoux,Wil Horneff,"3,282",$5.09M
Pretty Poison,(1968),X,89 min,"
Comedy, Crime, Romance            ",7.1,,"
    When a mentally disturbed young man tells a pretty girl that he's a secret agent, she believes him, and murder and mayhem ensue.",Noel Black,Anthony Perkins,Tuesday Weld,Beverly Garland,John Randolph,"3,267",
No Highway in the Sky,(1951),U,89 min,"
Drama, Thriller            ",7.2,,"
    An aeronautical engineer predicts that a new model of plane will fail catastrophically and in a novel manner after a specific number flying hours.",Henry Koster,James Stewart,Marlene Dietrich,Glynis Johns,Jack Hawkins,"3,262",
The Incident,(1967),Rejected,107 min,"
Crime, Drama, Thriller            ",7.7,,"
    Late one night, two young toughs hold hostage the passengers in one car of a New York subway train.",Larry Peerce,Tony Musante,Martin Sheen,Beau Bridges,Brock Peters,"3,224",
The Lodger,(1944),16,84 min,"
Crime, Horror, Mystery            ",7.1,,"
    A landlady suspects her new lodger is Jack the Ripper.",John Brahm,Laird Cregar,Merle Oberon,George Sanders,Cedric Hardwicke,"3,138",
Fear City,(1984),16,95 min,"
Crime, Drama, Mystery            ",5.7,,"
    Strippers in Manhattan are being stalked and maimed by a psycho-killer. A conflicted ex-boxer-turned-talent-manager and his business partner and friend, who represent some of the girls, set out to find him before he strikes again.",Abel Ferrara,Tom Berenger,Billy Dee Williams,Jack Scalia,Melanie Griffith,"3,048",
 The X Files,(1993–2018),12,86 min,"
Crime, Drama, Mystery            ",8.5,,"
    Mulder's return leads to him being tried for murder before a military tribunal where he seeks to prove the very existence of an alien conspiracy and justify the maintenance of the X-Files.",Kim Manners,David Duchovny,Gillian Anderson,Robert Patrick,Annabeth Gish,"3,029",
Angels of Evil,(2010),15,125 min,"
Biography, Crime, Drama            ",6.8,"
48        
        Metascore
            ","
    A biography of Milanese bank robber Renato Vallanzasca.",Michele Placido,Kim Rossi Stuart,Filippo Timi,Valeria Solarino,Moritz Bleibtreu,"2,994",
House of Strangers,(1949),A,101 min,"
Crime, Drama, Film-Noir            ",7.4,,"
    After years in prison, Max promises revenge on his brothers for their betrayal. His lover Irene and memories of his past yield him a broader perspective.",Joseph L. Mankiewicz,Edward G. Robinson,Susan Hayward,Richard Conte,Luther Adler,"2,916",
The Detective,(1968),X,114 min,"
Crime, Drama, Thriller            ",6.5,,"
    Police detective Joe Leland investigates the murder of a gay man. While investigating, he discovers links to official corruption in New York City in this drama that delves into a world of sex and drugs.",Gordon Douglas,Frank Sinatra,Lee Remick,Ralph Meeker,Jack Klugman,"2,909",$14.30M
The Street with No Name,(1948),A,91 min,"
Crime, Drama, Film-Noir            ",7.1,,"
    A covert FBI agent infiltrates a ruthless gangster mob, but his life is at risk from a mysterious informant who funnels inside information to the hoodlums.",William Keighley,Mark Stevens,Richard Widmark,Lloyd Nolan,Barbara Lawrence,"2,675",
 The X Files,(1993–2018),12,45 min,"
Crime, Drama, Mystery            ",8.3,,"
    With help from a police psychic, Mulder continues to search for clues about Samantha's abduction and ultimately finds the long sought after answers concerning her fate.",Kim Manners,David Duchovny,Gillian Anderson,William B. Davis,Mitch Pileggi,"2,648",
13 Rue Madeleine,(1946),A,95 min,"
Action, Adventure, Drama            ",6.9,,"
    When spy chief Bob Sharkey finds out one of his agents-in-training is actually a Nazi double agent, his strategic decision not to arrest him results in tragedy.",Henry Hathaway,James Cagney,Annabella,Richard Conte,Frank Latimore,"2,648",
24,(2013– ),,60 min,"
Action, Adventure, Crime            ",8.2,,"
    This thriller series focuses on an anti-terrorist unit agent named Jai Singh Rathod who has twenty-four hours to save the country from a major terrorist attack.",Anil Kapoor,Neil Bhoopalam,Raaghavv Chanana,Anita Raj,,"2,644",
The House on 92nd Street,(1945),U,88 min,"
Crime, Drama, Film-Noir            ",6.6,,"
    Bill Dietrich becomes a double agent for the F.B.I. in a Nazi spy ring.",Henry Hathaway,William Eythe,Lloyd Nolan,Signe Hasso,Gene Lockhart,"2,632",
Saigon,(I) (1988),18,102 min,"
Action, Drama, Thriller            ",6.2,,"
    McGriff and Albaby are probably doing the worst law enforcement job in the world - they are plain clothes U.S. military policemen on duty in war-time Saigon. However, their job becomes even...                See full summary »
",Christopher Crowe,Willem Dafoe,Gregory Hines,Fred Ward,Amanda Pays,"2,599",$7.24M
The House on Telegraph Hill,(1951),A,93 min,"
Crime, Drama, Film-Noir            ",7.0,,"
    Concentration camp survivor Victoria Kowelska finds herself involved in mystery, greed, and murder when she assumes the identity of a dead friend in order to gain passage to America.",Robert Wise,Richard Basehart,Valentina Cortese,William Lundigan,Fay Baker,"2,578",
Hangman's Curse,(2003),12,106 min,"
Horror, Mystery, Thriller            ",4.9,,"
    Bullying students are becoming deathly ill after screaming the name of a legendary ghost. What's to blame? An exotic illness? An illicit drug? Or is it the supernatural? The clues are few ...                See full summary »
",Rafal Zielinski,David Keith,Mel Harris,Leighton Meester,Douglas Smith,"2,488",$0.17M
Hangover Square,(1945),A,77 min,"
Crime, Drama, Music            ",7.4,,"
    A promising classical musician finds his life poisoned by a music hall dancer -- and by the strange gaps in his memory.",John Brahm,Laird Cregar,Linda Darnell,George Sanders,Glenn Langan,"2,488",
Half Moon Street,(1986),18,90 min,"
Drama, Thriller            ",5.4,,"
    A brilliant researcher in London who works as a high-class hooker in her spare time, becomes a pawn in a dangerous political game, when her latest client, a nobleman who is negotiating an Arab-Israeli peace treaty, falls for her.",Bob Swaim,Sigourney Weaver,Michael Caine,Patrick Kavanagh,Faith Kent,"2,421",$1.13M
The Laughing Policeman,(1973),X,112 min,"
Crime, Drama, Thriller            ",6.4,,"
    In San Francisco, California, one victim in a mass murder is a police detective. His partner and a new partner investigate in the city's seamy side.",Stuart Rosenberg,Walter Matthau,Bruce Dern,Louis Gossett Jr.,Albert Paulsen,"2,409",$1.36M
Shock,(1946),PG,70 min,"
Film-Noir, Thriller            ",6.3,,"
    A psychologically distraught woman is committed to a private sanitarium by the man she witnessed commit a murder.",Alfred L. Werker,Vincent Price,Lynn Bari,Frank Latimore,Anabel Shaw,"2,354",
Road House,(1948),A,95 min,"
Action, Drama, Film-Noir            ",7.2,,"
    A night club owner becomes infatuated with a torch singer and frames his best friend/manager for embezzlement when the chanteuse falls in love with him.",Jean Negulesco,Ida Lupino,Cornel Wilde,Celeste Holm,Richard Widmark,"2,337",
Quicksilver Highway,(1997 TV Movie),15,90 min,"
Horror, Thriller            ",4.9,,"
    Traveling showman Aaron Quicksilver tells horror tales: a psychotic hitchhiker falls prey to a relentless dangerously-sharp set of chattering teeth, and a human hand that comes alive.",Mick Garris,Christopher Lloyd,Matt Frewer,Raphael Sbarge,Missy Crider,"2,303",
The Mephisto Waltz,(1971),X,115 min,"
Horror, Mystery, Thriller            ",6.1,,"
    An old, dying satanist arranges to transfer his soul into the body of a young concert pianist.",Paul Wendkos,Alan Alda,Jacqueline Bisset,Barbara Parkins,Bradford Dillman,"2,283",
 Sons of Anarchy,(2008–2014),18,60 min,"
Crime, Drama, Thriller            ",9.1,,"
    The aftermath of Abel's kidnapping has the Sons reeling - especially Jax, whose grief sends him into deeper turmoil over his future with the MC. Meanwhile Gemma, still on the lam, is hit with some unexpected news from her past.",Stephen Kay,Charlie Hunnam,Katey Sagal,Mark Boone Junior,Dayton Callie,"2,265",
Fourteen Hours,(1951),A,92 min,"
Drama, Film-Noir, Thriller            ",7.1,,"
    An unhappy man threatens suicide by standing on the ledge of a high-rise building for 14 hours.",Henry Hathaway,Paul Douglas,Richard Basehart,Barbara Bel Geddes,Debra Paget,"2,251",
Warning Sign,(1985),15,99 min,"
Drama, Sci-Fi, Thriller            ",6.1,,"
    A woman working as a security guard in an agricultural research facility finds herself and her co-worker Schmidt fighting to survive against their former friends.",Hal Barwood,Sam Waterston,Kathleen Quinlan,Yaphet Kotto,Jeffrey DeMunn,"2,229",$1.92M
The Secret Agent,(1996),12,95 min,"
Drama, Thriller            ",5.7,"
41        
        Metascore
            ","
    London of the late 19th century is a haven for political exiles of all sorts - refugees, partisans, anarchists. Verloc has made his living spying for the Russian government, an agent ...                See full summary »
",Christopher Hampton,Bob Hoskins,Patricia Arquette,Gérard Depardieu,Jim Broadbent,"2,205",$0.11M
The Anniversary,(1968),X,95 min,"
Comedy, Drama, Thriller            ",7.0,,"
    Three sons who work in the family construction business help their overbearing mother celebrate her anniversary to her late husband.",Roy Ward Baker,Bette Davis,Sheila Hancock,Jack Hedley,James Cossins,"2,201",
 Sons of Anarchy,(2008–2014),18,60 min,"
Crime, Drama, Thriller            ",9.2,,"
    While the repo business proves more fruitful than the club ever imagined, ATF Agent Stahl gets up close and personal with the MC. Meanwhile, tension between Jax and Clay forces Gemma to make a tough decision.",Paris Barclay,Charlie Hunnam,Katey Sagal,Mark Boone Junior,Kim Coates,"2,181",
 Homeland,(2011–2020),16,52 min,"
Crime, Drama, Mystery            ",8.9,,"
    Saul's mission is a go. The clock ticks on the Keane administration.",Alex Graves,Claire Danes,Elizabeth Marvel,Maury Sterling,Linus Roache,"2,056",
Violent Saturday,(1955),12,90 min,"
Crime, Drama, Film-Noir            ",6.9,,"
    Three men case a small town very carefully, with plans to rob the bank on the upcoming Saturday, which turns violent and deadly.",Richard Fleischer,Victor Mature,Richard Egan,Stephen McNally,Virginia Leith,"2,029",
The Rats,(2002 TV Movie),16,94 min,"
Drama, Horror, Sci-Fi            ",4.8,,"
    A clan of evil rats overtakes a Manhattan department store and threatens to overrun the city.",John Lafia,Mädchen Amick,Vincent Spano,Shawn Michael Howard,Daveigh Chase,"1,988",
 Sleepy Hollow,(2013–2017),15,43 min,"
Action, Adventure, Crime            ",8.1,,"
    A modern-day supernatural thriller based on The Legend Of Sleepy Hollow. It follows Ichabod Crane as he partners with Sleepy Hollow's local female sheriff to solve the mysteries of a town ravaged by the battle between good and evil.",Len Wiseman,Tom Mison,Nicole Beharie,Orlando Jones,Katia Winter,"1,984",
Manhunt in Milan,(1972),X,95 min,"
Action, Crime, Thriller            ",7.1,,"
    A Milanese pimp is pursued by - and then pursues - a pair of New York hitmen and the gangsters who framed him for stealing a shipment of heroin.",Fernando Di Leo,Mario Adorf,Henry Silva,Woody Strode,Adolfo Celi,"1,976",
 Homeland,(2011–2020),16,62 min,"
Crime, Drama, Mystery            ",8.4,,"
    Carrie and Saul's mission doesn't go as planned. Elizabeth Keane fights for her presidency.",Lesli Linka Glatter,Claire Danes,Elizabeth Marvel,Maury Sterling,Linus Roache,"1,921",
23 Paces to Baker Street,(1956),U,103 min,"
Crime, Mystery, Thriller            ",7.0,,"
    A blind American writer living in London stumbles upon a criminal conspiracy involving kidnapping and extortion.",Henry Hathaway,Van Johnson,Vera Miles,Cecil Parker,Patricia Laffan,"1,897",
 24: Live Another Day,(2014),12,44 min,"
Action, Crime, Drama            ",8.9,,"
    Four years after Jack Bauer went on the run, the CIA agents in London manage to capture Bauer, one of their agents called Kate Morgan suspects he is up to something and President Heller's condition is sparking worries with his staff.",Jon Cassar,Kiefer Sutherland,Yvonne Strahovski,Tate Donovan,Mary Lynn Rajskub,"1,883",
Ransom,(II) (1974),A,97 min,"
Crime, Drama, Thriller            ",5.6,,"
    In a Scandinavian country, national security chief Colonel Tahlvik is tasked to rescue the passengers of a high-jacked British airliner while the British Ambassador is being held hostage at his residence by another terrorist team.",Casper Wrede,Sean Connery,Ian McShane,Jeffry Wickham,Isabel Dean,"1,859",
The 39 Steps,(1959),U,93 min,"
Comedy, Crime, Drama            ",6.6,,"
    In London, a diplomat accidentally becomes involved in the death of a British agent who's after a spy ring that covets British military secrets.",Ralph Thomas,Kenneth More,Taina Elg,Brenda de Banzie,Barry Jones,"1,844",
The Kremlin Letter,(1970),18,120 min,"
Crime, Drama, Thriller            ",6.3,,"
    During the Cold War a Naval Intelligence officer endowed with a powerful photographic memory is transferred to the CIA to participate in a covert operation in Moscow.",John Huston,Bibi Andersson,Richard Boone,Nigel Green,Dean Jagger,"1,781",$0.24M
Dangerous Crossing,(1953),A,75 min,"
Drama, Film-Noir, Mystery            ",7.0,,"
    When a beautiful bride boards an ocean liner with her new husband, he goes into hiding, and she becomes the target of a murder conspiracy.",Joseph M. Newman,Jeanne Crain,Michael Rennie,Max Showalter,Carl Betz,"1,738",
 Sons of Anarchy,(2008–2014),18,60 min,"
Crime, Drama, Thriller            ",8.2,,"
    Samcro heads north to help Happy with a pharmaceutical favor in redneck territory. Gemma tries to put old family matters to rest.",Guy Ferland,Charlie Hunnam,Katey Sagal,Mark Boone Junior,Dayton Callie,"1,696",
 Homeland,(2011–2020),16,56 min,"
Crime, Drama, Mystery            ",8.4,,"
    Saul calls an old friend. Wellington has a problem. Carrie enjoys a win.",Michael Offer,Claire Danes,Elizabeth Marvel,Maury Sterling,Linus Roache,"1,667",
Pentathlon,(1994),18,101 min,"
Action, Drama, Thriller            ",4.3,,"
    An Olympic gold medalist escapes to freedom in the US, only to be tracked down by his sadistic ex-coach.",Bruce Malmuth,Dolph Lundgren,David Soul,Renée Coleman,Roger E. Mosley,"1,666",
 Sons of Anarchy,(2008–2014),18,42 min,"
Crime, Drama, Thriller            ",8.1,,"
    To protect their territory, Sons of Anarchy must handle a rat at St. Thomas.",Stephen Kay,Charlie Hunnam,Katey Sagal,Mark Boone Junior,Dayton Callie,"1,658",
 24: Live Another Day,(2014),15,42 min,"
Action, Crime, Drama            ",8.8,,"
    Jack Bauer works with Chloe to retrieve a former member of her group who was selling information. President Heller's situation worsens after an attack and his condition appears to be worsening. Kate Morgan leads the hunt for Jack.",Jon Cassar,Kiefer Sutherland,Yvonne Strahovski,Tate Donovan,Mary Lynn Rajskub,"1,606",
Hell and High Water,(1954),PG,103 min,"
Action, Adventure, Drama            ",6.2,,"
    During the Cold War, a scientific team refits a Japanese submarine and hires an ex-Navy officer to find a secret Chinese atomic island base and prevent a Communist plot against America that could trigger WW3.",Samuel Fuller,Richard Widmark,Bella Darvi,Victor Francen,Cameron Mitchell,"1,600",
 Sons of Anarchy,(2008–2014),18,59 min,"
Crime, Drama, Thriller            ",8.8,,"
    Jax scrambles to put his affairs in order, while Nero handles business with his old crew.",Paris Barclay,Charlie Hunnam,Katey Sagal,Mark Boone Junior,Dayton Callie,"1,584",
The Other Side of Midnight,(1977),X,165 min,"
Drama, Romance, Thriller            ",6.2,,"
    A Greek tycoon's mistress tries to track down and find her ex-World War II lover.",Charles Jarrott,Marie-France Pisier,John Beck,Susan Sarandon,Raf Vallone,"1,552",$24.65M
 Homeland,(2011–2020),16,50 min,"
Crime, Drama, Mystery            ",8.3,,"
    Carrie and Saul interrogate a suspect. Wellington makes a play.",Tucker Gates,Claire Danes,Elizabeth Marvel,Maury Sterling,Linus Roache,"1,533",
Charlie Chan at the Olympics,(1937),U,71 min,"
Comedy, Crime, Mystery            ",7.2,,"
    When a strategically important new aerial guidance system is stolen, Charlie traces it to the Berlin Olympics, where he has to battle spies and enemy agents to retrieve it.",H. Bruce Humberstone,Warner Oland,Katherine DeMille,Pauline Moore,Allan Lane,"1,528",
 Homeland,(2011–2020),16,58 min,"
Crime, Drama, Mystery            ",7.9,,"
    Carrie needs to choose a side. Keane needs an ally. Saul has an idea.",Daniel Attias,Claire Danes,Elizabeth Marvel,Linus Roache,Mandy Patinkin,"1,527",
Fate Is the Hunter,(1964),U,106 min,"
Drama, Mystery, Thriller            ",6.9,,"
    An airline executive refuses to believe that pilot error, by his friend, caused a fatal crash and persists in looking for another reason.",Ralph Nelson,Glenn Ford,Nancy Kwan,Rod Taylor,Suzanne Pleshette,"1,521",
Swamp Water,(1941),A,88 min,"
Crime, Drama, Mystery            ",7.1,,"
    Attempting to find his lost dog in a vast Georgia swamp, Ben Ragan stumbles upon wanted murderer Tom Keefer who convinces Ben he was framed for the murder by the real killer.",Jean Renoir,Irving Pichel,Walter Brennan,Walter Huston,Anne Baxter,"1,519",
Charlie Chan in Honolulu,(1938),U,67 min,"
Comedy, Crime, Horror            ",6.9,,"
    While Charlie is distracted with the birth of his first grandchild, son Jimmy impersonates his father in order to investigate a murder aboard a freighter in the harbor.",H. Bruce Humberstone,Sidney Toler,Phyllis Brooks,Victor Sen Yung,Eddie Collins,"1,516",
Charlie Chan at the Circus,(1936),A,72 min,"
Comedy, Crime, Mystery            ",7.0,,"
    While visiting the circus with his family, Charlie is recruited by the big top's co-owner to investigate threatening letters that he's received.",Harry Lachman,Warner Oland,Keye Luke,George Brasno,Olive Brasno,"1,516",
 Homeland,(2011–2020),16,53 min,"
Crime, Drama, Mystery            ",8.0,,"
    Carrie makes a move. Wellington has a reckoning. Saul expands an operation.",Lesli Linka Glatter,Claire Danes,Elizabeth Marvel,Maury Sterling,Linus Roache,"1,507",
 24: Live Another Day,(2014),15,44 min,"
Action, Crime, Drama            ",9.3,,"
    As the world teeters on a terror plot of mass proportions, Jack and the team reunite one last time to avert an imminent crisis. With no time left and the fate of free world on the line, Jack is faced with an unthinkable and grave decision.",Jon Cassar,Kiefer Sutherland,Yvonne Strahovski,Tate Donovan,Mary Lynn Rajskub,"1,494",
Charlie Chan at the Wax Museum,(1940),A,63 min,"
Comedy, Crime, Mystery            ",7.2,,"
    An escaped convicted murderer hides out at a New York wax museum where he hopes to get plastic surgery, which will help him revenge himself on Charlie Chan.",Lynn Shores,Sidney Toler,Victor Sen Yung,C. Henry Gordon,Marc Lawrence,"1,481",
"I, the Jury",(1982),18,111 min,"
Crime, Drama, Mystery            ",6.0,,"
    A PI investigates the murder of his one-armed friend, a PI working on a case. Clues lead to a sex clinic. Bodies pile up.",Richard T. Heffron,Armand Assante,Barbara Carrera,Laurene Landon,Alan King,"1,432",$1.52M
Moontide,(1942),A,94 min,"
Crime, Drama, Film-Noir            ",6.9,,"
    In California, Bobo and his mooching 'pal' Tiny are doing odd jobs and getting drunk and they hide a secret about the unsolved murder of sailor Pop Kelly but suicidal waitress Anna, saved by Bobo, unravels the mystery.",Archie Mayo,Fritz Lang,Jean Gabin,Ida Lupino,Thomas Mitchell,"1,432",
 Lie to Me,(2009–2011),15,45 min,"
Crime, Drama, Mystery            ",8.2,,"
    Dr. Lightman and Dr. Foster search for the truth in cases involving a devoutly religious high school student accused of killing a teacher, and a congressman accused of having an affair.",Robert Schwentke,Tim Roth,Kelli Williams,Monica Raymund,Brendan Hines,"1,410",
Charlie Chan's Secret,(1936),A,72 min,"
Crime, Drama, Mystery            ",7.1,,"
    The heir to a huge fortune is presumed drowned, then shows up, is then murdered.",Gordon Wiles,Warner Oland,Rosina Lawrence,Charles Quigley,Henrietta Crosman,"1,394",
